worker_id,paid,task_id,batch_name,unit_id,try_last,try_current,dimension_index,dimension_name,timestamp_start,timestamp_start_parsed,selection_index,selection_value,selection_label,selection_timestamp,selection_timestamp_parsed,selection_time_elapsed,timestamp_end,timestamp_end_parsed,document_index,document_id
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,0,truthfulness-1,1673443507.0,2023-01-11 14:25:07,0,4,Mostly True,1673443594.871,2023-01-11 14:26:34.871000,87.871,1673444134.02,2023-01-11 14:35:34.020000,0,224557
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,1,explanation-quality,1673443507.0,2023-01-11 14:25:07,1,79,,1673443607.032,2023-01-11 14:26:47.032000,12.161,1673444134.02,2023-01-11 14:35:34.020000,0,224557
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,2,truthfulness-2,1673443507.0,2023-01-11 14:25:07,2,3,Half True,1673443753.813,2023-01-11 14:29:13.813000,146.781,1673444134.02,2023-01-11 14:35:34.020000,0,224557
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,0,truthfulness-1,1673443507.0,2023-01-11 14:25:07,0,3,Half True,1673443990.512,2023-01-11 14:33:10.512000,483.512,1673444134.02,2023-01-11 14:35:34.020000,1,171067
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,1,explanation-quality,1673443507.0,2023-01-11 14:25:07,1,52,,1673444008.52,2023-01-11 14:33:28.520000,18.008,1673444134.02,2023-01-11 14:35:34.020000,1,171067
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,2,truthfulness-2,1673443507.0,2023-01-11 14:25:07,2,2,Barely True,1673444086.234,2023-01-11 14:34:46.234000,77.714,1673444134.02,2023-01-11 14:35:34.020000,1,171067
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,0,truthfulness-1,1673443507.0,2023-01-11 14:25:07,0,3,Half True,1673444182.363,2023-01-11 14:36:22.363000,675.363,1673444134.02,2023-01-11 14:35:34.020000,2,47357
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,1,explanation-quality,1673443507.0,2023-01-11 14:25:07,1,31,,1673444186.775,2023-01-11 14:36:26.775000,4.412,1673444134.02,2023-01-11 14:35:34.020000,2,47357
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,1,1,2,truthfulness-2,1673443507.0,2023-01-11 14:25:07,2,5,True,1673444300.338,2023-01-11 14:38:20.338000,113.563,1673444134.02,2023-01-11 14:35:34.020000,2,47357
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,0,truthfulness-1,1673425621.0,2023-01-11 09:27:01,0,1,False,1673425638.077,2023-01-11 09:27:18.077000,17.077,1673425824.9,2023-01-11 09:30:24.900000,0,171067
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,1,explanation-quality,1673425621.0,2023-01-11 09:27:01,1,100,,1673425640.062,2023-01-11 09:27:20.062000,1.985,1673425824.9,2023-01-11 09:30:24.900000,0,171067
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,2,truthfulness-2,1673425621.0,2023-01-11 09:27:01,2,0,Lie,1673425687.659,2023-01-11 09:28:07.659000,47.597,1673425824.9,2023-01-11 09:30:24.900000,0,171067
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,0,truthfulness-1,1673425621.0,2023-01-11 09:27:01,0,5,True,1673425727.268,2023-01-11 09:28:47.268000,106.268,1673425824.9,2023-01-11 09:30:24.900000,1,224557
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,1,explanation-quality,1673425621.0,2023-01-11 09:27:01,1,45,,1673425728.365,2023-01-11 09:28:48.365000,1.097,1673425824.9,2023-01-11 09:30:24.900000,1,224557
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,2,truthfulness-2,1673425621.0,2023-01-11 09:27:01,2,2,Barely True,1673425807.052,2023-01-11 09:30:07.052000,78.687,1673425824.9,2023-01-11 09:30:24.900000,1,224557
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,0,truthfulness-1,1673425621.0,2023-01-11 09:27:01,0,5,True,1673425841.385,2023-01-11 09:30:41.385000,220.385,1673425824.9,2023-01-11 09:30:24.900000,2,47357
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,1,explanation-quality,1673425621.0,2023-01-11 09:27:01,1,91,,1673425842.332,2023-01-11 09:30:42.332000,0.947,1673425824.9,2023-01-11 09:30:24.900000,2,47357
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,1,1,2,truthfulness-2,1673425621.0,2023-01-11 09:27:01,2,5,True,1673425875.249,2023-01-11 09:31:15.249000,32.917,1673425824.9,2023-01-11 09:30:24.900000,2,47357
HIOF5FD2FK3W9F,True,SC_task1,SC_batch1,unit_5,1,1,0,truthfulness-1,1673425155.0,2023-01-11 09:19:15,0,5,True,1673425204.083,2023-01-11 09:20:04.083000,49.083,1673425420.87,2023-01-11 09:23:40.870000,0,224557
